year,GDP_bil,population_mil,fuel_mass_prod,fuel_mass_cons,fuel_mass_fin,exergy_prod,exergy_cons,exergy_fin
1998,7552.1,270.3,1870.336,2158.685,1277.287,63.213,77.14,59.21
1997,7269.8,267.7,1858.817,2148.759,1280.759,63.302,76.888,60.123
1996,6994.8,265.2,1837.189,2094.088,1270.574,62.938,75.013,60.513
1995,6761.7,262.8,1805.465,2037.113,1232.061,62.052,73.191,58.556
1994,6610.7,260.3,1803.096,2023.08,1229.167,62.062,73.016,57.534
1993,6389.6,257.7,1714.163,1996.321,1208.046,59.683,71.799,56.179
1992,6244.4,255,1764.822,1937.172,1180.548,61.183,70.276,55.12
1991,6079.4,252.1,1767.326,1911.237,1165.039,61.086,69.261,53.464
1990,6136.3,248.8,1789.624,1920.6,1177.468,61.546,69.631,53.549
1989,6062,246.8,1747.098,1913.252,1201.329,61.025,69.765,54.981
1988,5865.2,244.5,1745.023,1895.014,1184.618,61.402,68.988,54.241
1987,5649.5,242.3,1710.178,1832.135,1124.558,60.282,66.942,51.661
1986,5487.7,240.1,1681.125,1783.015,1105.953,59.38,65.315,49.876
1985,5323.5,237.9,1705.953,1776.434,1089.339,60.383,64.464,49.471
1984,5140.1,235.8,1728.915,1783.384,1111.162,61.299,65.48,49.903
1983,4803.7,233.8,1576.096,1682.076,1066.115,56.835,62.144,47.566
1982,4620.3,231.7,1658.91,1696.151,1082.813,59.399,63.315,47.722
1981,4720.7,229.5,1664.015,1784.437,1174.505,60.272,67.036,50.12
1980,4615,226.5,1675.408,1804.728,1229.933,60.733,68.528,51.858
1979,4630.6,224.6,1611.657,1833.445,1312.267,59.14,70.453,53.961
1978,4503,222.1,1493.828,1760.53,1316.147,56.269,68.521,53.754
1977,4273.6,219.8,1480.165,1740.364,1277.686,55.675,68.181,52.736
1976,4082.9,217.6,1452.131,1639.868,1224.895,55.075,64.648,51.456
1975,3873.9,215.5,1439.4,1558.01,1161.023,54.875,61.659,48.478
1974,3891.2,213.3,1452.538,1572.1,1218.216,56.748,62.817,50.717
1973,3916.3,211.4,1487.147,1606.187,1265.018,58.746,64.475,52.541
1972,3702.3,209.3,1501.208,1529.065,1203.69,59.468,61.995,50.983
1971,3510,206.8,1465.746,1481.433,1135.73,58.693,60.328,49.003
1970,3397.6,203.3,1516.31,1481.824,1112.419,60.088,60.006,48.146
1969,3393.6,201.3,1438.635,1437.223,1071.108,57.42,58.129,47.187
1968,3293.9,199.3,1393.728,1392.085,1016.692,55.532,56.108,45.348
1967,3147.2,197.4,1367.415,1331.281,966.782,53.911,53.387,43.06
1966,3069.2,195.5,1302.918,1297.471,948.799,51.282,51.72,42.074
1965,2881.1,193.5,1240.89,1229.541,896.729,48.697,48.958,39.98
1964,2708.4,191.1,1204.529,1186.083,863.431,47.405,47.405,38.413
